ghi;irrdiffuse;temperature;wind;hydro;load_residential;load_commercial;load_industrial;load_community
kW/m2;kW/m2;Degrees;m/s;m3/s;kW;kW;kW;kW
0.319;0.093;28;2.8;1.0203;256;16.74041429;33.460864;33.905
0.091;0.049;27;2.8;1.0203;258;15.00312857;37.485464;42.2035
0;0;27;2.45;1.0203;317;7.571814286;23.283984;31.4575
0;0;26;2.1;1.0203;365;8.845885714;35.362452;47.776
0;0;26;1.75;1.0203;365;3.144785714;29.333864;39.631
0;0;26;1.4;1.0203;341;2.9024;27.072908;36.5765
0;0;26;1.4;1.0203;301;4.461628571;41.616992;42.1695
0;0;26;1.3;1.0203;259;3.525742857;32.887264;18.5135
0;0;26;1.15;0.9047;237;1.904757143;17.767184;4.445
0;0;26;0.95;0.9047;219;2.397685714;22.365076;5.5955
0;0;26;0.6;0.9047;207;3.839114286;35.810388;8.9595
0;0;25;0.35;0.9047;202;1.932614286;18.027008;4.51
0;0;25;0.25;0.9047;197;2.534171429;23.638124;5.914
0;0;25;0.25;0.9047;200;2.650428571;24.72252;8.3505
0.002;0.002;25;0.35;0.9047;209;1.2979;12.106516;6.815
0.099;0.095;26;0.7;0.9047;229;3.330757143;13.315096;10.4935
0.196;0.184;26;1.05;0.9047;251;9.108485714;18.206092;16.398
0.497;0.3;27;1.15;0.9047;269;8.841028571;17.671524;15.9165
0.782;0.185;28;1.3;0.9047;291;15.9666;31.914152;28.745
0.879;0.183;29;1.5;0.9047;307;7.611857143;15.214624;13.7035
0.902;0.177;29;2;0.9047;309;0.730914286;1.46096;1.316
0.847;0.169;29;2.45;0.9047;322;6.536142857;13.064496;11.767
0.72;0.157;29;2.8;0.9047;294;8.379271429;16.748536;15.0855
0.535;0.137;28;2.9;0.9047;294;7.183114286;14.357668;12.932
0.312;0.106;28;2.8;0.9047;285;15.71861429;31.418476;31.8355
0.089;0.054;27;2.55;0.9047;279;6.585542857;16.454024;18.525
0;0;27;2.35;0.9047;340;2.8322;8.709244;11.7665
0;0;27;2.1;0.9047;390;4.967257143;19.857176;26.828
0;0;26;1.75;0.9047;381;2.109985714;19.681512;26.5905
0;0;26;1.4;0.9047;354;0;0;0
0;0;26;1.05;0.9047;307;2.055328571;19.171608;19.426
0;0;26;0.95;0.9047;259;1.690957143;15.7728;8.879
0;0;26;0.8;0.9625;228;4.120657143;38.436468;9.6165
0;0;26;0.8;0.9625;217;5.048671429;47.092836;11.7825
0;0;26;0.7;0.9625;208;4.178914286;38.979964;9.7525
0;0;26;0.7;0.9625;200;4.012171429;37.424632;9.3635
0;0;26;0.95;0.9625;200;4.969114286;46.350744;11.5965
0;0;26;1.3;0.9625;202;3.385042857;31.574928;11.8495
0.001;0.001;26;1.85;0.9625;211;4.754657143;44.350308;27.7405
0.065;0.065;26;2.55;0.9625;240;12.56902857;35.172292;30.7995
0.081;0.081;27;2.9;0.9625;271;29.17494286;40.82056;40.852
0.454;0.313;27;3.05;0.9625;293;29.50498571;41.28234;41.314
0.783;0.167;28;2.8;0.9625;294;36.47864286;51.039644;51.079
0.652;0.448;29;2.2;0.9625;324;37.98074286;53.141332;53.182
0.705;0.448;29;2;0.9625;327;23.42444286;32.77466;32.8
0.833;0.196;29;2.45;0.9625;325;34.76361429;48.640024;48.6775
0.708;0.181;29;3.4;0.9625;318;32.22801429;45.092304;45.127
0.523;0.162;29;3.85;0.9625;313;29.14612857;40.780236;40.8115
0.301;0.131;28;3.85;0.9625;301;34.08512857;47.690712;53.6935
0.083;0.062;27;3.5;0.9625;290;24.24738571;42.407612;53.0505
0;0;27;3.15;0.9625;354;19.40594286;41.772476;62.707
0;0;27;2.7;0.9625;399;18.05621429;50.52724;75.849
0;0;27;2.1;0.9625;388;5.161571429;48.14596;72.2745
0;0;27;1.65;0.9625;368;4.445171429;41.463488;62.243
0;0;27;1.15;0.9625;317;5.196042857;48.467476;54.568
0;0;26;0.95;0.9625;265;2.467571429;23.016996;14.3965
0;0;26;0.8;1.9321;238;5.496228571;51.26756;12.8265
0;0;26;0.6;1.9321;225;5.616957143;52.3937;13.1085
0;0;26;0.6;1.9321;219;5.780142857;53.9158;13.4895
0;0;26;0.8;1.9321;211;5.818271429;54.271528;13.5785
0;0;26;1.15;1.9321;209;6.216014286;57.981528;14.5065
0;0;26;1.4;1.9321;214;4.215042857;39.31688;14.755
0.002;0.002;26;1.75;1.9321;223;5.823157143;54.317072;33.9745
0.17;0.12;26;2;1.9321;249;19.12984286;53.531632;46.876
0.265;0.209;27;2.2;1.9321;281;37.17831429;52.018588;52.0585
0.595;0.233;28;2.55;1.9321;285;38.33045714;53.630628;53.672
0.609;0.388;28;3.05;1.9321;312;31.1652;43.60526;43.639
0.622;0.453;29;3.75;1.9321;328;32.34441429;45.255184;45.29
0.648;0.463;29;4.3;1.9321;323;43.6352;61.052848;61.1
0.358;0.336;29;4.65;1.9321;316;33.68054286;47.124632;47.161
0.37;0.33;29;4.65;1.9321;308;32.93337143;46.07922;46.1145
0.206;0.2;28;4.55;1.9321;303;42.71622857;59.767052;59.813
0.299;0.143;28;4.1;1.9321;295;42.04144286;58.822912;66.2265
0.082;0.065;27;3.5;1.9321;284;25.65218571;44.864552;56.124
0;0;27;3.05;1.9321;356;28.55032857;61.456344;92.2555
0;0;27;2.7;1.9321;418;23.01001429;64.389608;96.6585
0;0;27;2.35;1.9321;413;6.535628571;60.962812;91.5145
0;0;27;2;1.9321;388;3.367871429;31.414708;47.1585
0;0;27;1.4;1.9321;336;5.6963;53.133752;59.8215
0;0;26;0.95;1.9321;284;5.279285714;49.243952;30.801
0;0;26;0.95;1.4798;255;3.723542857;34.732384;8.69
0;0;26;1.3;1.4798;240;3.770914286;35.17424;8.8005
0;0;26;1.65;1.4798;229;4.398514286;41.028364;10.265
0;0;26;1.85;1.4798;221;4.647328571;43.34924;10.8455
0;0;25;2.35;1.4798;216;4.206928571;39.241272;9.818
0;0;25;2.8;1.4798;216;4.545257143;42.39708;15.911
0.001;0.001;25;3.4;1.4798;229;4.545014286;42.3948;26.517
0.119;0.1;25;3.95;1.4798;253;10.53314286;29.475192;25.8105
0.322;0.202;26;4.1;1.4798;274;31.32788571;43.832892;43.8665
0.444;0.314;26;3.75;1.4798;293;29.05125714;40.647508;40.679
0.547;0.401;27;3.15;1.4798;303;34.81827143;48.716496;48.754
0.615;0.453;27;2.55;1.4798;323;42.00312857;58.769312;58.8145
0.665;0.461;28;1.85;1.4798;322;24.07438571;33.684044;33.71
0.41;0.373;28;1.15;1.4798;315;34.18772857;47.834272;47.871
0.361;0.325;28;0.7;1.4798;309;30.41581429;42.556744;42.5895
0.535;0.15;28;0.45;1.4798;303;34.12007143;47.7396;47.7765
0.3;0.118;28;0.6;1.4798;297;19.3828;27.119732;30.533
0.076;0.058;27;0.95;1.4798;298;25.60887143;44.788804;56.029
0;0;27;0.95;1.4798;363;21.39442857;46.052832;69.1325
0;0;27;0.95;1.4798;420;19.10735714;53.468676;80.2645
0;0;27;0.95;1.4798;410;3.307542857;30.851976;46.3135
0;0;26;0.95;1.4798;390;5.635871429;52.570096;78.916
0;0;26;0.8;1.4798;344;4.386257143;40.91398;46.0635
0;0;26;0.8;1.4798;295;2.920357143;27.24046;17.0385
0;0;26;0.8;1.0276;269;3.2725;30.525128;7.637
0;0;26;0.8;1.0276;249;5.746157143;53.598812;13.41
0;0;26;0.8;1.0276;229;5.036114286;46.9757;11.753
0;0;26;0.95;1.0276;221;4.015042857;37.451344;9.37
0;0;26;1.05;1.0276;216;2.495985714;23.281996;5.825
0;0;26;1.3;1.0276;216;5.349785714;49.901532;18.7275
0;0;26;1.4;1.0276;229;6.1312;57.190384;35.7715
0.18;0.1;26;1.75;1.0276;253;9.877214286;27.639688;24.2035
0.217;0.195;27;1.75;1.0276;274;23.09668571;32.316076;32.341
0.281;0.262;28;1.65;1.0276;237;33.39477143;46.724784;46.7605
0.773;0.199;29;1.65;1.0276;307;19.4726;27.245372;27.2665
0.777;0.366;29;1.85;1.0276;332;29.11978571;40.74338;40.7745
0.895;0.198;29;2.45;1.0276;327;24.78052857;34.672052;34.6985
0.751;0.348;29;2.9;1.0276;328;30.90644286;43.243216;43.2765
0.624;0.321;29;3.4;1.0276;308;31.52475714;44.108344;44.1425
0.537;0.148;28;3.4;1.0276;294;27.23188571;38.101912;38.131
0.315;0.117;28;3.15;1.0276;282;25.46757143;35.633336;40.1185
0.092;0.061;27;2.8;1.0276;290;25.52022857;44.633744;55.835
0;0;27;2.35;1.0276;352;22.14464286;47.6677;71.5565
0;0;27;2;1.0276;402;16.06804286;44.963692;67.4975
0;0;27;1.5;1.0276;392;4.856742857;45.3025;68.006
0;0;27;1.3;1.0276;365;3.4184;31.885992;47.866
0;0;26;1.3;1.0276;327;3.607971429;33.654296;37.89
0;0;26;1.65;1.0276;287;4.615828571;43.055332;26.9305
0;0;26;2.1;1.6607;255;4.582;42.739764;10.693
0;0;26;2.7;1.6607;234;4.566185714;42.592324;10.6565
0;0;26;3.05;1.6607;229;4.795257143;44.72902;11.191
0;0;26;3.25;1.6607;221;4.4666;41.663348;10.424
0;0;26;3.15;1.6607;216;5.202071429;48.523732;12.1405
0;0;26;3.15;1.6607;216;3.577814286;33.373036;12.5245
0;0;26;3.4;1.6607;222;5.5856;52.101112;32.588
0.157;0.092;26;3.75;1.6607;249;14.116;39.501224;34.59
0.016;0.016;26;4.2;1.6607;287;26.75898571;37.440244;37.469
0.03;0.03;27;4.3;1.6607;295;35.51342857;49.689136;49.7275
0.104;0.104;28;3.95;1.6607;299;16.91911429;23.672628;23.691
0.303;0.29;28;3.5;1.6607;322;33.64431429;47.073944;47.11
0.647;0.466;28;3.25;1.6607;313;38.54092857;53.925108;53.9665
0.506;0.424;28;2.8;1.6607;303;46.41061429;64.936104;64.986
0.35;0.319;28;2.1;1.6607;294;31.52062857;44.102552;44.1365
0.389;0.271;28;1.65;1.6607;284;38.096;53.302588;53.3435
0.153;0.145;27;1.3;1.6607;273;29.8595;41.77836;47.037
0.069;0.063;27;1.15;1.6607;276;18.57485714;32.48662;40.6395
0;0;27;1.3;1.6607;333;20.0844;43.232904;64.899
0;0;26;1.5;1.6607;379;20.11374286;56.284888;84.4925
0;0;26;1.85;1.6607;381;5.4034;50.40162;75.6605
0;0;26;2;1.6607;358;5.066285714;47.257188;70.9405
0;0;26;2.1;1.6607;317;5.175642857;48.277208;54.3535
0;0;26;2.2;1.6607;281;4.297371429;40.084812;25.0725
0;0;26;2.2;0.4996;259;2.647614286;24.696308;6.179
0;0;26;2.2;0.4996;247;3.332014286;31.080244;7.776
0;0;26;2.1;0.4996;229;5.062542857;47.222184;11.8145
0;0;26;1.75;0.4996;221;3.760471429;35.076764;8.776
0;0;26;1.75;0.4996;216;3.270185714;30.50358;7.632
0;0;26;1.85;0.4996;216;1.768671429;16.497708;5.5725
0;0;26;1.85;0.4996;200;5.613914286;52.365308;29.478
0.059;0.059;26;2;0.4996;279;7.267214286;29.05154;22.8955
0.221;0.196;26;2.2;0.4996;304;20.07242857;40.120924;36.1365
0.08;0.08;27;2.55;0.4996;311;11.35377143;22.693996;20.4405
0.431;0.375;28;2.7;0.4996;308;17.75018571;35.4792;31.956
0.465;0.413;28;2.9;0.4996;320;14.12755714;28.238244;25.434
0.616;0.468;28;3.15;0.4996;330;10.59941429;21.186188;19.082
0.446;0.397;29;3.4;0.4996;333;12.4152;24.815588;22.351
0.464;0.368;28;3.5;0.4996;322;17.05324286;34.086148;30.701
0.412;0.267;28;3.4;0.4996;318;12.62122857;25.227396;22.722
0.228;0.163;27;3.4;0.4996;310;12.78495714;25.55466;25.894
0.043;0.043;27;3.25;0.4996;305;19.04618571;47.587056;53.5765
0;0;27;3.15;0.4996;360;11.2628;34.634108;46.792
0;0;26;3.05;0.4996;416;10.52372857;42.069796;56.838
0;0;26;3.05;0.4996;407;3.907528571;36.448568;49.2435
0;0;26;3.05;0.4996;375;4.0144;37.445392;50.59
0;0;26;2.9;0.4996;321;3.094528571;28.864984;29.2485
0;0;26;2.7;0.4996;268;4.435971429;41.3777;23.293
0;0;26;2.35;0.4185;248;5.864842857;54.705936;13.687
0;0;26;2;0.4185;235;4.422528571;41.252324;10.321
0;0;26;1.75;0.4185;229;4.331128571;40.399772;10.1075
0;0;26;1.4;0.4185;221;3.966885714;37.002216;9.2575
0;0;26;1.05;0.4185;216;5.0494;47.099584;11.784
0;0;26;0.45;0.4185;216;3.6006;33.58554;11.344
0;0;26;0.35;0.4185;240;5.683042857;53.01008;29.841
0.003;0.003;26;0.8;0.4185;288;12.08047143;48.29308;38.06
0.044;0.044;27;1.05;0.4185;314;25.12312857;50.216284;45.2295
0.219;0.214;27;0.95;0.4185;318;19.56971429;39.116092;35.2315
0.238;0.23;28;0.8;0.4185;323;17.1111;34.2018;30.8055
0.245;0.236;28;0.7;0.4185;334;16.40308571;32.786596;29.5305
0.44;0.401;28;0.6;0.4185;330;14.1869;28.356884;25.541
0.522;0.43;28;0.8;0.4185;326;20.75552857;41.486292;37.3665
0.41;0.353;28;1.4;0.4185;316;20.2942;40.564204;36.536
0.312;0.265;28;2;0.4185;304;20.29355714;40.562924;36.5345
0.241;0.161;27;2.7;0.4185;295;15.79164286;31.564464;31.9835
0.059;0.057;27;3.4;0.4185;293;17.83774286;44.56774;50.1775
0;0;27;3.95;0.4185;358;13.72615714;42.209124;57.026
0;0;27;3.5;0.4185;410;7.533528571;30.116164;40.688
0;0;26;2.55;0.4185;408;5.8682;54.737264;73.952
0;0;26;1.85;0.4185;373;6.145985714;57.328276;77.4525
0;0;26;1.75;0.4185;321;5.501871429;51.320172;52.0015
0;0;26;2.2;0.4185;270;2.639028571;24.616252;13.8575
0;0;26;2.55;0.9047;248;3.9523;36.866176;9.2235
0;0;26;2.8;0.9047;235;5.685042857;53.02882;13.2675
0;0;26;3.05;0.9047;229;4.315571429;40.254664;10.0715
0;0;26;3.4;0.9047;221;5.1896;48.40734;12.111
0;0;26;3.95;0.9047;216;5.6775;52.958436;13.25
0;0;26;4.65;0.9047;216;4.733671429;44.154648;16.5705
0;0;26;5;0.9047;230;4.995314286;46.595088;29.1445
0.023;0.023;26;5;0.9047;288;10.93214286;30.591744;26.7885
0.231;0.2;26;4.8;0.9047;314;36.31041429;50.804268;50.8435
0.382;0.311;27;4.8;0.9047;318;26.08004286;36.49028;36.5185
0.501;0.39;27;5;0.9047;323;35.89861429;50.228084;50.2665
0.433;0.394;27;5.5;0.9047;334;25.6687;35.914748;35.9425
0.68;0.464;27;5.95;0.9047;330;31.8463;44.558236;44.5925
0.686;0.419;27;6.2;0.9047;326;23.86928571;33.397068;33.423
0.516;0.372;27;5.7;0.9047;316;28.97498571;40.54078;40.572
0.364;0.276;26;4.8;0.9047;304;35.44001429;49.58642;49.6245
0.182;0.159;26;4.45;0.9047;295;26.66134286;37.30362;41.999
0.072;0.066;26;4.65;0.9047;279;29.91022857;52.31168;65.44
0;0;26;4.55;0.9047;434;20.64124286;44.431548;66.6985
0;0;26;4.1;0.9047;433.9;19.61465714;54.888272;82.3955
0;0;26;3.4;0.9047;438.8;5.271414286;49.170468;73.8125
0;0;26;3.15;0.9047;417;4.324728571;40.34006;60.5565
0;0;26;3.15;0.9047;373;4.226457143;39.423448;44.3855
0;0;26;3.25;0.9047;330;4.8856;45.571732;28.504
0;0;26;3.4;0.6158;248;3.131171429;29.20684;7.3075
0;0;26;3.5;0.6158;235;3.298171429;30.7646;7.697
0;0;26;3.75;0.6158;229;2.062285714;19.23648;4.813
0;0;26;3.95;0.6158;221;1.684542857;15.713076;3.9315
0;0;26;4.2;0.6158;216;4.1283;38.50784;9.6345
0;0;26;4.45;0.6158;216;2.799785714;26.11578;9.801
0;0;26;4.45;0.6158;230;0.999285714;9.32104;5.83
0.007;0.007;26;4.55;0.6158;288;10.3854;29.061784;25.4485
0.021;0.021;26;4.8;0.6158;314;13.09661429;18.324332;18.3385
0.051;0.051;26;4.9;0.6158;318;18.64885714;26.092828;26.113
0.098;0.098;26;4.2;0.6158;323;18.00141429;25.18696;25.2065
0.112;0.112;27;2.9;0.6158;334;12.1435;16.990768;17.004
0.441;0.402;26;1.85;0.6158;330;18.66397143;26.113984;26.134
0.592;0.442;26;1.4;0.6158;326;4.377385714;6.124688;6.1295
0.35;0.321;26;1.3;0.6158;316;16.88718571;23.62796;23.646
0.252;0.235;26;1.4;0.6158;304;10.86078571;15.196032;15.2075
0.168;0.154;26;1.65;0.6158;295;9.668142857;13.527328;15.23
0.027;0.027;26;1.65;0.6158;357;16.46554286;28.797504;36.0245
0;0;26;1.65;0.6158;431;12.87218571;27.70818;41.594
0;0;25;1.65;0.6158;420.7;11.41552857;31.944408;47.9535
0;0;25;1.65;0.6158;430.9;2.927142857;27.303708;40.987
0;0;25;2;0.6158;438;1.711871429;15.967976;23.9705
0;0;25;2.7;0.6158;395;2.520357143;23.509292;26.4685
0;0;25;3.15;0.6158;330;2.042742857;19.054172;11.918
0;0;25;3.4;0.8485;302;3.0824;28.75196;7.1935
0;0;25;3.6;0.8485;289;3.347442857;31.22414;7.812
0;0;25;4.1;0.8485;229;2.370014286;22.106996;5.531
0;0;25;4.65;0.8485;271;2.810771429;26.218232;6.5595
0;0;25;5;0.8485;266;3.150971429;29.391496;7.3535
0;0;25;5.15;0.8485;182;1.888914286;17.619296;6.6125
0;0;25;5.7;0.8485;220;3.023614286;28.203532;17.641
0.005;0.005;25;6.3;0.8485;288;8.367385714;23.414708;20.5035
0.024;0.024;26;6.55;0.8485;314;28.01171429;39.193004;39.223
0.057;0.057;26;6.4;0.8485;318;27.37135714;38.297032;38.3265
0.227;0.221;26;6.4;0.8485;323;12.63465714;17.67796;17.6915
0.292;0.28;27;6.65;0.8485;334;25.23087143;35.302144;35.3295
0.515;0.445;26;6.9;0.8485;330;14.68587143;20.547956;20.564
0.662;0.431;26;6.9;0.8485;326;20.55922857;28.765748;28.788
0.324;0.302;26;6.75;0.8485;316;16.93134286;23.689748;23.708
0.17;0.17;26;6.55;0.8485;304;25.65272857;35.892392;35.92
